智辯学園和歌山高校[編入]73
開智高校[ＳⅠ類]71
近大附属和歌山高校[ＡＤ]71
近大附和歌山高校[新ＡＤ]70
初芝橋本高校[立命館]63
和歌山信愛高校[特進]63
近大附新宮高校[アグレッ]62
初芝橋本高校[国公立]61
近大附属新宮高校[フロン]54
和歌山信愛高校[学際]52
初芝橋本高校[総合進学]50
高野山高校[普通]37
高野山高校[宗教]37
