百合学院高校,特進,私,47
明石清水高校,普通,46
育英高校,総合進学,私,46
川西明峰高校,普通,46
神戸第一高校,普スー,私,46
松陽高校,普通,46
飾磨工業高校,機械,46
飾磨工業高校,健康科学,46
飾磨工業高校,電気,46
飾磨工業高校,ＩＴ,46
飾磨工業高校,エネルギ,46
園田学園高校,進学,私,46
西宮甲山高校,普通,46
日高高校,福祉,46
報徳学園高校,進学,私,46
社高校,生活科学,46
芦屋学園高校,国際文,私,45
尼崎小田高校,普通,45
神戸国際大附,文理特,私,45
神戸星城高校,特進Ｂ,私,45
神戸山手女子高,標準,私,45
洲本実業高校,工業,45
宝塚東高校,普通,45
東洋大附姫路高校,普,私,45
豊岡総合高校,総合,45
西宮今津高校,総合,45
西脇工業高校,機械,45
西脇工業高校,電気,45
西脇工業高校,工業化学,45
西脇工業高校,情報繊維,45
西脇工業高校,総合技術,45
相生産業高校,機械,44
相生産業高校,電気,44
芦屋学園高校,普通,私,44
尼崎工業高校,建築,44
尼崎工業高校,工業Ⅰ,44
尼崎市立尼崎高校,体育,44
明石南高校,総合,44
猪名川高校,普通,44
神戸常盤女子高,こど,私,44
神戸龍谷高校,進ＧＲ,私,44
神戸北高校,普通,44
龍野北高校,電気情報,44
龍野北高校,環境建設,44
豊岡総合高校,環境建設,44
豊岡総合高校,電機応用,44
東灘高校,普通,44
西脇高校,生活情報,44
和田山高校,総合,44
尼崎双星高校,普通,43
尼崎双星高校,商業,43
尼崎双星高校,機械,43
尼崎双星高校,電気情報,43
尼崎西高校,普通,43
明石商業高校,国際会計,43
出石高校,普通,43
上郡高校,普通,43
夙川学院高校,Ⅰ類,私,43
神港学園神港高校,進,私,43
洲本実業高校,国際,43
洲本実業高校,商業,43
松陽高校,商業,43
松陽高校,生活文化,43
須磨ノ浦女子高,幼教,私,43
龍野北高校,総合デザイ,43
東播工業高校,工業Ⅰ,43
兵庫県立農業高校,農業,43
兵庫県立農業高校,園芸,43
兵庫県立農業高,動物科,43
兵庫県立農業高,食品科,43
兵庫県立農業高,農業環,43
兵庫県立農業高校,造園,43
兵庫県立農業高校,生物,43
姫路別所高校,普通,43
三木東高校,総合,43
相生産業高校,商業,42
明石商業高校,商業,42
伊丹市立伊丹高校,商業,42
神崎高校,普通,42
佐用高校,家政,42
夙川学院高校,美術,私,42
西宮香風高校,普通,42
浜坂高校,普通,42
佐用高校,農業,42
有馬高校,人と自然,41
小野工業高校,工業,41
小野工業高校,生活創造,41
香住高校,普通,41
神戸村野工業高校,普,私,41
神戸村野工業高校,機,私,41
神戸村野工業高校,電,私,41
神戸村野工業高校,情,私,41
神戸村野工業高校,機,私,41
神戸弘陵学園高校,総,私,41
篠山産業高校,機械,41
篠山産業高校,電気,41
篠山産業高校,土木,41
篠山産業高校,商業,41
篠山産業高校,生活,41
篠山東雲高校,地域農業,41
三田松聖高校,総合,私,41
佐用高校,普通,41
園田学園高校,総進,私,41
播磨農業高校,農業経営,41
播磨農業高校,園芸,41
播磨農業高校,畜産,41
兵庫県播磨高校,商業,私,41
日ノ本学園高校,クリ,私,41
日ノ本学園高校,福祉,私,41
日ノ本学園高校,健体,私,41
日ノ本学園高校,幼教,私,41
夢前高校,普通,41
淡路高校,総合,40
家島高校,普通,40
市川高校,普通,私,40
上郡高校,農業,40
上郡高校,園芸,40
上郡高校,農業土木,40
香住高校,海洋科学,40
神戸常盤女子高,家庭,私,40
神戸星城高校,商業,私,40
神戸野田高校,キャリ,私,40
夙川学院高校,体育,私,40
神港学園神港高校,総,私,40
須磨ノ浦女子,キャリ,私,40
須磨ノ浦女子高,介福,私,40
多可高校,普通,40
兵庫県播磨高校,普通,私,40
氷上西高校,普通,40
山崎高校,生活創造,40
山崎高校,森林環境,40
神戸第一高校,普通,私,39
神戸第一高校,情報処理,私,39
神戸第一高校,ファッショ,私,39
神戸第一高校,介護福祉,私,39
神戸第一高校,調理師,私,39
神戸第一高校,製菓衛生,私,39
神戸第一高校,普通スポー,私,39
神戸常盤女子高校,総合,私,39
甲子園学院高校,総合進学,私,39
柳学園高校,普通,私,39
伊和高校,普通,39
千種高校,普通,39
氷上高校,商業,39
村岡高校,普通,39
但馬農業高校,農業,38
但馬農業高校,畜産,38
但馬農業高校,生活,38
氷上高校,生活,38
氷上高校,食品加工,38
氷上高校,営農,38
吉川高校,普通私,38 
神戸弘陵学園高校,体育特,私,38
神戸国際大附高校,進学,私,36
神戸国際大附高校,アスリ,私,36
日生学園第三高校,普通,私,36 
