渋茨木高校,文理,76
大阪教育大附高池田,普,76
大阪教育大附天王寺,普,76
北野高校,文理,76
北野高校,普通,75
天王寺高校,文理,75
大手前高校,文理,74
四條畷高校,文理,74
清風南海高校,３年特,私,74
天王寺高校,普通,74
三国丘高校,文理,74
生野高校,文理,73
高津高校,文理,73
茨木高校,普通,72
大手前高校,普通,72
関西大倉高校,特進Ｓ,私,72
岸和田高校,文理,72
四條畷高校,普通,72
四天王寺高校,理数,私,72
豊中高校,文理,72
三国丘高校,普通,72
明星高校,文理選抜,私,72
桃山学院高校,Ｓ英数,私,72
高津高校,普通,71
清風高校,理Ⅲ,私,71
清教学園高校,理系,私,71
生野高校,普通,70
岸和田高校,普通,70
近畿大附高,スー文理,私,70
四天王寺高校,英数・私,70
泉陽高校,普通,70
豊中高校,普通,70
大阪教育大附高平野,普,69
大阪国際大和田,Ｓ特,私,69
大阪女学院高校,英語,私,69
大阪桐蔭高校,Ⅰ類,私,69
春日丘高校,普通,69
千里高校,国際文化,69
千里高校,総合科学,69
大阪女学院高校,理系,私,68
開明高校,６年編入,私,68
関西大倉高校,特進,私,68
初芝富田林高校,Ⅲ類,私,68
明星高校,文理,私,68
和泉高校,グローバル,67
追手門学院,英理数選,私,67
関西創価高校,普通,私,67
金光八尾高校,Ｓ特進,私,67
常翔学園高校,スーパ,私,67
清風高校,理数,私,67
寝屋川高校,普通,67
桃山学院高校,英数,私,67
大阪青凌高校,特進Ｓ,私,66
関西大学高等部,安全,私,66
関西大学第一高校,普,私,66
住吉高校,総合科学,66
住吉高校,国際文化,66
清教学園高校,文系,私,66
浪速高校,理数SS,私,66
箕面高校,国際教養,66
和泉高校,普通,65
大阪女学院高校,文系,私,65
大阪学芸高校,選抜特,私,65
鳳高校,普通,65
関西大学北陽高校,特,私,65
近畿大附高,特文理Ⅰ,私,65
富田林高校,普通,65
初芝富田林高校,Ⅱ類,私,65
箕面高校,普通,65
今宮高校,総合,64
池田高校,普通,64
大阪市立東高校,理数,64
大阪市立東高校,英語,64
大阪府立大工高等専,総,64
追手門学院高,英理Ⅰ,私,64
近畿大附高,特文理Ⅱ,私,64
同志社香里高校,普通,私,64
上宮高校,パワー,私,63
大阪国際大和田高,特,私,63
大阪市立高校,理数,63
大阪桐蔭高校,Ⅱ類,私,63
常翔啓光学園高,特Ⅰ,私,63
泉北高校,国際文化,63
帝塚山学院泉ヶ丘,際,私,63
東海大付仰星,英数特,私,63
牧野高校,普通,63
桃山学院高校,国際,私,63
八尾高校,普通,63
市岡高校,普通,62
上宮高校,英数,私,62
大阪市立高校,英語,62
関西大倉高校,総合,私,62
北千里高校,普通,62
近畿大附高校,英特化,私,62
近畿大学附属高校,進,私,62
清水谷高校,普通,62
清風高校,文理,私,62
泉北高校,総合科学,62
帝塚山学院泉ヶ丘,理,私,62
槻の木高校,普通,62
初芝富田林高校,Ⅰ類,私,62
東住吉高校,普通,62
プール学院高,Ｓ文理,私,62
三島高校,普通,62
履正社高校,集文理Ⅰ,私,62
早稲田摂陵高校,Ｂ,私,62
大阪信愛女学院高,特,私,61
関西学院千里国際,普,私,61
関西大学北陽高,文理,私,61
賢明学院高,特医歯薬,私,61
金光八尾高校,特進,私,61
浪速高校,普通Ⅰ類,私,61
初芝立命館高校,立命,私,61
桃山学院高校,文理,私,61
夕陽丘高校,普通,61
大阪市立高校,普通,60
大阪市立東高校,普通,60
登美丘高校,普通,60
大阪市立南高校,英語,59
河南高校,普通,59
佐野高校,普通,59
佐野高校,国際教養,59
常翔学園高校,特進,私,59
旭高校,国際教養,58
大阪市立工芸高校,ビジ,58
大阪国際大和田,英数,私,58
大阪聖母女学院,ス英,私,58
近畿大学泉州高,特進,私,58
桜塚高校,普通,58
堺東高校,総合,58
常翔学園高,薬学医療,私,58
常翔啓光学園高,特Ⅱ,私,58
四天王寺羽曳丘高,Ⅲ,私,58
長野高校,国際教養,58
初芝立命館高,グロＳ,私,58
花園高校,国際教養,58
枚方高校,国際教養,58
箕面自由学園高,ス特,私,58
山田高校,普通,58
夕陽丘高校,音楽,58
上宮高校,プレップ,私,57
大阪学芸高校,特理数,私,57
大阪青凌高校,特進,私,57
追手門学院大手前,特,私,57
追手門学院,英数理Ⅱ,私,57
刀根山高校,普通,57
羽衣学園高,文理特Ⅰ,私,57
布施高校,普通,57
早稲田摂陵高校,Ａ,私,57
大阪薫英女学,文理特,私,56
大阪市立工芸高校,映像,56
大阪市立工芸高校,美術,56
大阪体大浪商,Ⅰ国公,私,56
大阪ビジネスフロ,グロ,56
金蘭会高校,特進,私,56
久米田高校,普通,56
香里丘高校,普通,56
東海大付仰星高校,総,私,56
東大谷高校,特進,私,56
プール学院高校,特進,私,56
阿倍野高校,普通,55
上宮太子高校,３年特,私,55
賢明学院高校,特文理,私,55
金光大阪高校,特進Ⅰ,私,55
咲くやこの花高校,食文,55
桜宮高校,人間スポーツ,55
狭山高校,普通,55
城星学園高校,特進,私,55
千里青雲高校,総合,55
浪速高校,普通Ⅱ類,私,55
梅花高校,特進,私,55
枚方高校,普通,55
旭高校,普通,54
大阪学芸高校,特進,私,54
大阪市立西高校,英語,54
大阪市立南高校,国語,54
大阪薫英女学院高,際,私,54
大阪薫英女学院高,英,私,54
大阪聖母女学,文理総,私,54
追手門学院大手前,進,私,54
四條畷学園高校,特進,私,54
樟蔭高校,特進,私,54
高槻北高校,普通,54
阪南大学高,文理特Ⅰ,私,54
東大谷高校,言語国際,私,54
日根野高校,普通,54
履正社高,集文理Ⅱ類,私,54
大阪市立工芸高,インテ,53
金蘭会高校,看護進学,私,53
金光八尾高校,総進,私,53
常翔学園高校,文理進,私,53
吹田東高校,普通,53
相愛高校,特進,私,53
初芝立命館高,グロＡ,私,53
花園高校,普通,53
箕面自由学園高校,特,私,53
山本高校,普通,53
大阪薫英女学院高,総,私,52
大阪成蹊女子高,特進,私,52
大阪夕陽丘学園,特Ⅰ,私,52
大阪体育大浪商高,Ⅱ,私,52
摂津高校,体育,52
帝塚山学院高,ヴェル,私,52
阪南大学高,文理特Ⅱ,私,52
芥川高校,普通,51
芦間高校,総合,51
大阪産業大附高,特Ⅰ,私,51
大阪商業大堺高,特エ,私,51
大阪信愛女学院高,進,私,51
大阪電気通信大高,理,私,51
金岡高校,普通,51
関西福祉科大高,特Ⅰ,私,51
近大学泉州高校,進Ⅰ,私,51
金光大阪高校,特進Ⅱ,私,51
咲くやこの花高校,演劇,51
咲くやこの花高校,総合,51
常翔啓光学園高校,進,私,51
聖母被昇天学院高,普,私,51
長野高校,普通,51
羽衣学園高,文理特Ⅱ,私,51
阪南高校,普通,51
東住吉高校,芸能文化,51
東大谷高校,進学探究,私,51
都島工業高校,機械,51
都島工業高校,機械電気,51
都島工業高校,建築,51
都島工業高校,都市工学,51
都島工業高校,電気電子,51
都島工業高校,理数工学,51
八尾翠翔高校,普通,51
今宮工科高校,工学,50
大阪学院大学高,特進,私,50
大阪市立工芸高,プロダ,50
岸和田市立産業高校,情,50
柴島高校,総合,50
金剛高校,普通,50
堺市立堺高校,サイエン,50
堺市立堺高校,マネジメ,50
四天王寺羽曳丘高,Ⅱ,私,50
摂津高校,普通,50
高石高校,普通,50
豊島高校,普通,50
帝塚山学院高校,音楽,私,50
帝塚山学院高校,美術,私,50
浪速高校,普通Ⅲ類,私,50
梅花高校,標準,私,50
梅花高校,医療看護,私,50
大阪学芸高校,進学,私,49
大阪学院大学高,国際,私,49
大阪市立工芸高,建デザ,49
大阪商業大高,文理進,私,49
大阪商業大堺高,特ア,私,49
賢明学院高校,進学,私,49
好文学園女子高校,特,私,49
桜宮高校,普通,49
相愛高校,専攻選択,私,49
梅花高校,国際,私,49
東百舌鳥高校,普通,49
みどり清朋高校,普通,49
明浄学院高校,特進,私,49
上宮太子高,３年総進,私,48
大阪産大附高,国際特,私,48
大阪夕陽丘学園,英際,私,48
大阪市立西高校,流通経,48
扇町総合高校,総合,48
門真なみはや高校,普通,48
交野高校,普通,48
金蘭会高校,総進,私,48
岸和田市立産業高校,商,48
堺西高校,普通,48
堺市立堺高校,建インテ,48
堺市立堺高校,機械材料,48
樟蔭高校,進学,私,48
長尾高校,普通,48
梅花高校,舞台スポー,私,48
汎愛高校,体育,48
汎愛高校,武道,48
藤井寺高校,普通,48
箕面自由学園高校,総,私,48
茨木西高校,普通,47
大阪高校,文理特進,私,47
大阪国際滝井高校,特,私,47
大阪産業大附高,特Ⅱ,私,47
大阪夕陽丘学園,特Ⅱ,私,47
大阪市立西高,情報科学,47
大阪体育大浪商,進ス,私,47
大塚高校,体育,47
近畿大学泉州高,進Ⅱ,私,47
北かわち皐が丘高校,普,47
城南学園高校,特アド,私,47
四天王寺高校,スポ芸,私,47
四天王寺羽曳丘高,Ⅰ,私,47
樟蔭高校,児童教育,私,47
樟蔭高校,健康栄養,私,47
城星学園高校,総合進,私,47
大商学園高校,特進,私,47
太成学院高校,特進Ⅰ,私,47
梅花高校,こども,私,47
枚方なぎさ高校,普通,47
ＰＬ学園高校,国公立,私,47
藍野高校,衛生看護,私,46
大阪青凌高校,進学,私,46
大阪国際滝井高校,看,私,46
大冠高校,普通,46
貝塚高校,総合,46
貝塚南高校,普通,46
岸和田市立産業高,デザ,46
港南造形高校,総合造形,46
渋谷高校,普通,46
樟蔭東高校,アドヴァ,私,46
清明学院高校,特進,私,46
清明学院高校,看護医,私,46
相愛高校,音楽,私,46
日新高校,英語,46
汎愛高校,普通,46
東淀川高校,普通,46
港高校,普通,46
履正社高校,普通Ⅲ類,私,46
今宮工科高校,機械,45
今宮工科高校,電気,45
今宮工科高校,建築,45
今宮工科高校,グラフ,45
泉大津高校,普通,45
大阪偕星学園,特進,私,45
大阪暁光高校,文理特,私,45
金蘭会高校,保育児童,私,45
好文学園女子高,看医,私,45
城南学園高校,教特進,私,45
吹田高校,普通,45
大商学園高校,情報,私,45
日新高校,普通,45
羽衣学園高校,進学,私,45
阪南大学高校,総合進,私,45
枚方津田高校,普通,45
ＰＬ学園高校,理文選,私,45
松原高校,総合,45
明浄学院高校,看護医,私,45
淀商業高校,福祉,45
淀商業高校,商業,45
大阪国際滝井高,国際,私,44
大阪成蹊女子高校,進,私,44
