茨木高校[文理]76
大阪教育大附高池田校[普]76
大阪教育大附高天王寺[普]76
北野高校[文理]76
北野高校[普通]75
天王寺高校[文理]75
大手前高校[文理]74
四條畷高校[文理]74
天王寺高校[普通]74
三国丘高校[文理]74
生野高校[文理]73
高津高校[文理]73
茨木高校[普通]72
大手前高校[普通]72
岸和田高校[文理]72
四條畷高校[普通]72
豊中高校[文理]72
三国丘高校[普通]72
高津高校[普通]71
生野高校[普通]70
岸和田高校[普通]70
泉陽高校[普通]70
豊中高校[普通]70 
大阪教育大附高平野校[普]69
春日丘高校[普通]69
千里高校[国際文化]69
千里高校[総合科学]69
和泉高校[グローバル]67
寝屋川高校[普通]67
住吉高校[総合科学]66
住吉高校[国際文化]66
箕面高校[国際教養]66
和泉高校[普通]65
鳳高校[普通]65
富田林高校[普通]65
箕面高校[普通]65
今宮高校[総合]64
池田高校[普通]64
大阪市立東高校[理数]64
大阪市立東高校[英語]64
大阪市立高校[理数]63
泉北高校[国際文化]63
牧野高校[普通]63
八尾高校[普通]63
市岡高校[普通]62
大阪市立高校[英語]62
北千里高校[普通]62
清水谷高校[普通]62
泉北高校[総合科学]62
東住吉高校[普通]62
槻の木高校[普通]62
三島高校[普通]62
夕陽丘高校[普通]61
大阪市立高校[普通]60
大阪市立東高校[普通]60
登美丘高校[普通]60
＜５９～５０＞
大阪市立南高校[英語]59
河南高校[普通]59
佐野高校[普通]59
佐野高校[国際教養]59
旭高校[国際教養]58
大阪市立工芸高校[ビジュ]58
桜塚高校[普通]58
堺東高校[総合]58
長野高校[国際教養]58
花園高校[国際教養]58
枚方高校[国際教養]58
山田高校[普通]58
夕陽丘高校[音楽]58
刀根山高校[普通]57
布施高校[普通]57
大阪市立工芸高校[映像]56
大阪市立工芸高校[美術]56
大阪ビジネスフロンテ[グ]56
久米田高校[普通]56
香里丘高校[普通]56
阿倍野高校[普通]55
咲くやこの花高校[食物文]55
桜宮高校[人間スポーツ]55
狭山高校[普通]55
千里青雲高校[総合]55
枚方高校[普通]55
旭高校[普通]54
大阪市立西高校[英語]54
大阪市立南高校[国語]54
高槻北高校[普通]54
日根野高校[普通]54
大阪市立工芸高校[インテ]53
吹田東高校[普通]53
花園高校[普通]53
山本高校[普通]53
摂津高校[体育]52
芥川高校[普通]51
芦間高校[総合]51
金岡高校[普通]51
咲くやこの花高校[演劇]51
咲くやこの花高校[総合]51
長野高校[普通]51
阪南高校[普通]51
東住吉高校[芸能文化]51
都島工業高校[機械]51
都島工業高校[機械電気]51
都島工業高校[建築]51
都島工業高校[都市工学]51
都島工業高校[電気電子]51
都島工業高校[理数工学]51
八尾翠翔高校[普通]51
今宮工科高校[工学]50
大阪市立工芸高校[プロダ]50
岸和田市立産業高校[情報]50
柴島高校[総合]50
金剛高校[普通]50
堺市立堺高校[サイエンス]50
堺市立堺高校[マネジメン]50
摂津高校[普通]50
高石高校[普通]50
豊島高校[普通]50 
大阪市立工芸高校[建築デ]49
桜宮高校[普通]49
東百舌鳥高校[普通]49
みどり清朋高校[普通]49
大阪市立西高校[流通経済]48
扇町総合高校[総合]48
門真なみはや高校[普通]48
交野高校[普通]48
岸和田市立産業高校[商業]48
堺西高校[普通]48
堺市立堺高校[建築インテ]48
堺市立堺高校[機械材料]48
長尾高校[普通]48
汎愛高校[体育]48
汎愛高校[武道]48
藤井寺高校[普通]48
茨木西高校[普通]47
大阪市立西高校[情報科学]47
大塚高校[体育]47
北かわち皐が丘高校[普通]47
枚方なぎさ高校[普通]47
大冠高校[普通]46
貝塚高校[総合]46
貝塚南高校[普通]46
岸和田市立産業高校[デザ]46
港南造形高校[総合造形]46
渋谷高校[普通]46
日新高校[英語]46
汎愛高校[普通]46
東淀川高校[普通]46
港高校[普通]46
今宮工科高校[機械]45
今宮工科高校[電気]45
今宮工科高校[建築]45
今宮工科高校[グラフィッ]45
泉大津高校[普通]45
吹田高校[普通]45
日新高校[普通]45
枚方津田高校[普通]45
松原高校[総合]45
淀商業高校[福祉]45
淀商業高校[商業]45
大阪府教育センター附[普]44
大塚高校[普通]44
懐風館高校[普通]44
北摂つばさ高校[普通]44
八尾北高校[総合]44
緑風冠高校[普通]44
阿武野高校[普通]43
鶴見商業高校[商業]43
日新高校[商業]43
福井高校[普通]43
堺上高校[普通]42
成美高校[普通]42
西寝屋川高校[普通]42
農芸高校[ハイテク農芸]42
農芸高校[食品加工]42
農芸高校[資源動物]42
淀川工科高校[全系]42
園芸高校[フラワー]41
園芸高校[環境緑化]41
園芸高校[バイオサイエン]41
大阪市立中央高校[普通]41
大阪市立中央高校[ビジネ]41
佐野工科高校[工業]41
住吉商業高校[商業]41
長野北高校[普通]41
りんくう翔南高校[普通]41
茨木工科高校[機械]40
茨木工科高校[電気]40
茨木工科高校[環境科学]40
池田北高校[普通]40
島本高校[普通]40
伯太高校[普通]40
枚岡樟風高校[総合]40
福泉高校[普通]40
箕面東高校[普通]40
美原高校[普通]40
守口東高校[普通]40
和泉総合高校[総合]39
門真西高校[普通]39
かわち野高校[普通]39
堺工科高校[工業]39
信太高校[普通]39
成城高校[総合]39
西野田工科高校[工業]39
能勢高校[総合]39
平野高校[普通]39
布施工科高校[工業]39
藤井寺工科高校[工業]39
桃谷高校[普通]39
泉尾工業高校[ファッショ]38
泉尾工業高校[セラミック]38
