清風南海高校[３年特]74
関西大倉高校[特進Ｓ]72
四天王寺高校[理数]72
明星高校[文理選抜]72
桃山学院高校[Ｓ英数]72
清風高校[理Ⅲ]71
清教学園高校[理系]71
近大附高校[スーパー文理]70
四天王寺高校[英数]70
大阪女学院高校[英語]69
大阪桐蔭高校[Ⅰ類]69
大阪国際大和田高校[Ｓ特]69
大阪女学院高校[理系]68
開明高校[６年編入]68
関西大倉高校[特進]68
初芝富田林高校[Ⅲ類]68
明星高校[文理]68
追手門学院高[英数理数選]67
関西創価高校[普通]67
金光八尾高校[Ｓ特進]67
常翔学園高校[スーパー]67
清風高校[理数]67
桃山学院高校[英数]67
大阪青凌高校[特進Ｓ]66
関西大学高等部[安全科]66
関西大学第一高校[普通]66
清教学園高校[文系]66
浪速高校[理数SS]66
大阪女学院高校[文系]65
大阪学芸高校[選抜特進]65
関西大学北陽高校[特進]65
近大附属高校[特文理Ⅰ]65
初芝富田林高校[Ⅱ類]65
追手門学院高[英数理数Ⅰ]64
近大附属高校[特文理Ⅱ]64
同志社香里高校[普通]64
上宮高校[パワー]63
大阪国際大和田高校[特進]63
大阪桐蔭高校[Ⅱ類]63
常翔啓光学園高校[特進Ⅰ]63
帝塚山学院泉ヶ丘高[国際]63
東海大付仰星高校[英数特]63
桃山学院高校[国際]63
上宮高校[英数]62
関西大倉高校[総合]62
近畿大学附属高校[英語特]62
近畿大学附属高校[進学]62
清風高校[文理]62
帝塚山学院泉ヶ丘高[理数]62
初芝富田林高校[Ⅰ類]62
プール学院高校[Ｓ文理]62
履正社高校[集約文理Ⅰ類]62
早稲田摂陵高校[Ｂ]62
大阪信愛女学院高校[特進]61
関西学院千里国際高等[普]61
関西大学北陽高校[文理]61
賢明学院高校[特進医歯薬]61
金光八尾高校[特進]61
浪速高校[普通Ⅰ類]61
初芝立命館高校[立命館]61
桃山学院高校[文理]61 
常翔学園高校[特進]59
大阪国際大和田高校[英数]58
大阪聖母女学院[スー英数]58
近畿大学泉州高校[特進]58
常翔学園高校[薬学・医療]58
常翔啓光学園高校[特進Ⅱ]58
四天王寺羽曳丘高校[Ⅲ類]58
初芝立命館高校[グローＳ]58
箕面自由学園高校[スー特]58
上宮高校[プレップ]57
大阪学芸高校[特進理数]57
大阪青凌高校[特進]57
追手門学院大手前高校[特]57
追手門学院高[英数理数Ⅱ]57
羽衣学園高校[文理特進Ⅰ]57
早稲田摂陵高校[Ａ]57
大阪薫英女学院高[文理特]56
大阪体育大浪商高[Ⅰ国公]56
金蘭会高校[特進]56
東海大付属仰星高校[総進]56
東大谷高校[特進]56
プール学院高校[特進]56
上宮太子高校[３ヶ年特進]55
賢明学院高校[特進文理]55
金光大阪高校[特進Ⅰ]55
城星学園高校[特進]55
浪速高校[普通Ⅱ類]55
梅花高校[特進]55
大阪学芸高校[特進]54
大阪薫英女学院高校[国際]54
大阪薫英女学院高校[英語]54
大阪聖母女学院高[文理総]54
追手門学院大手前高[進学]54
四條畷学園高校[特進]54
樟蔭高校[特進]54
阪南大学高校[文理特進Ⅰ]54
東大谷高校[言語国際]54
履正社高校[集約文理Ⅱ類]54
金蘭会高校[看護進学]53
金光八尾高校[総進]53
常翔学園高校[文理進学]53
相愛高校[特進]53
初芝立命館高校[グローＡ]53
箕面自由学園高校[特進]53
大阪成蹊女子高校[特進]52
大阪体育大浪商高校[Ⅱ有]52
大阪夕陽丘学園高校[特Ⅰ]52
大阪薫英女学院高校[総合]52
帝塚山学院高校[ヴェルジ]52
阪南大学高校[文理特進Ⅱ]52
大阪産業大附属高校[特Ⅰ]51
大阪商業大堺高校[特エキ]51
大阪信愛女学院高校[進学]51
大阪電気通信大高校[理数]51
関西福祉科学大高校[特Ⅰ]51
近畿大学泉州高校[進学Ⅰ]51
金光大阪高校[特進Ⅱ]51
常翔啓光学園高校[進学]51
聖母被昇天学院高校[普通]51
羽衣学園高校[文理特進Ⅱ]51
東大谷高校[進学探究]51
大阪学院大学高校[特進]50
四天王寺羽曳丘高校[Ⅱ類]50
帝塚山学院高校[音楽]50
帝塚山学院高校[美術]50
浪速高校[普通Ⅲ類]50
梅花高校[標準]50
梅花高校[医療看護]50 
大阪学芸高校[進学]49
大阪学院大学高校[国際]49
大阪商業大学高校[文理進]49
大阪商業大堺高[特進アド]49
賢明学院高校[進学]49
好文学園女子高校[特進]49
相愛高校[専攻選択]49
梅花高校[国際]49
明浄学院高校[特進]49
上宮太子高校[３ヶ年総進]48
大阪産業大附高校[国際特]48
大阪夕陽丘学園高[英国際]48
金蘭会高校[総進]48
樟蔭高校[進学]48
梅花高校[舞台・スポーツ]48
箕面自由学園高校[総合進]48
大阪高校[文理特進]47
大阪産業大学附高校[特Ⅱ]47
大阪体育大浪商高[進スポ]47
大阪夕陽丘学園高校[特Ⅱ]47
大阪国際滝井高校[特進]47
近畿大学泉州高校[進学Ⅱ]47
城南学園高校[特進アドバ]47
四天王寺高校[スポーツ芸]47
樟蔭高校[児童教育]47
樟蔭高校[健康栄養]47
城星学園高校[総合進学]47
大商学園高校[特進]47
太成学院高校[特進Ⅰ]47
四天王寺羽曳丘高校[Ⅰ類]47
梅花高校[こども]47
ＰＬ学園高校[国公立]47
藍野高校[衛生看護]46
大阪青凌高校[進学]46
大阪国際滝井高校[看護]46
樟蔭東高校[アドヴァンス]46
清明学院高校[特進]46
