佼成学園女子高,特留,私,55
佼成学園女子高,特文,私,55
共立女子第二高,普通,私,55
桜丘高校,特進,私,55
総合芸術高校,美術,55
総合芸術高校,舞台表現,55
大東文化大第一高,進,私,55
瀧野川女子学園高,特,私,55
帝京高校,インターナ,私,55
田園調布高校,普通,55
東京都立工芸高校,マシ,55
戸板女子高,Sイング,私,55
桐朋女子高校,音楽,私,55
成瀬高校,普通,55
日本工業大駒場,理数,私,55
二松学舎大附高校,特,私,55
武蔵野女子学院高,進,私,55
郁文館高校,普通,私,54
関東国際高校,演劇,私,54
関東国際高校,外国語,私,54
科学技術高校,科学技術,54
駒沢学園女子高校,特,私,54
昭和第一高校,特進,私,54
城西大附城西高校,普,私,54
翔陽高校,普通,54
杉並高校,普通,54
星美学園高校,普通,私,54
東京高校,普通,私,54
東京家政大女子高,創,私,54
豊島高校,普通,私,54
日本学園高校,特進,私,54
八王子高校,芸術,私,54
晴海総合高校,総合,54
保善高校,大進選抜,私,54
向丘高校,普通,54
目白研心高校,選抜,私,54
明星高校,普通,私,54
八雲学園高校,普通,私,54
芦花高校,普通,54
国本女子高校,Ｓアド,私,53
啓明学園高校,普通,53
駒込高校,アドバンB,私,53
江北高校,普通,53
下北沢成徳高校,国際,私,53
女子美術大付高校,普,私,53
成立学園高校,特進選,私,53
千代田女学園高校,特,私,53
つばさ総合高校,総合,53
帝京高校,文理,私,53
帝京八王子高校,文理,私,53
東亜学園高校,文理,私,53
日本橋女学館高,難大,私,53
日野高校,普通,53
富士森高校,普通,53
府中高校,普通,53
武蔵丘高校,普通,53
目黒学院高校,特進,私,53
関東国際高校,普通,私,52
北豊島高校,特進,私,52
京華高校,進学,私,52
駒場学園高校,国際,私,52
佼成学園女子高校,進,私,52
国士舘高校,普通,私,52
修徳高校,特進,私,52
東京女子学園高校,特,私,52
東京音楽大付高校,音,私,52
東高校,普通,52
東大和高校,普通,52
文化学園大杉並高,総,私,52
豊南高校,選抜,私,52
保谷高校,普通,52
愛国高校,衛生看護,私,51
青梅総合高校,総合,51
神田女学園高校,特進,私,51
鷺宮高校,普通,51
サレジオ工業高等,機,私,51
サレジオ工業高等,電,私,51
サレジオ工業高等,情,私,51
サレジオ工業高等,デ,私,51
潤徳女子高校,特別進,私,51
白梅学園高校,進学,私,51
白梅学園高校,保・教,私,51
正則高校,普通,私,51
玉川聖学院高校,普通,私,51
高島高校,普通,51
東京成徳大高校,進学,私,51
東京都立農業高校,食物,51
東星学園高校,普通,私,51
トキワ松学園高校,特,私,51
豊島学院高校,普通,私,51
保善高校,大学進学,私,51
朋優学院高校,進学,私,51
本所高校,普通,51
松が谷高校,普通,51
松が谷高校,外国語,51
立正大付立正高校,普,私,51
飛鳥高校,普通,50
岩倉高校,特進,私,50
関東第一高校,進学Ａ,私,50
京北高校,進学,私,50
国立音楽大附高校,音,私,50
桜町高校,普通,50
新宿山吹高校,普通,50
下北沢成徳高校,進学,私,50
修徳高校,文理選抜,私,50
杉並総合高校,総合,50
世田谷総合高校,総合,私,50
立川女子高校,特進,私,50
戸板女子高校,本科,私,50
東京女子学院高校,普,私,50
東京立正高校,スタン,私,50
日本工業大駒場高,総,私,50
二松学舎大附高校,進,私,50
八王子桑志高校,産業,50
八王子実践高校,文理,私,50
東久留米総合高校,総合,50
藤村女子高校,総合特,私,50
文華女子高校,大学進,私,50
文京学院大女子,文理,私,50
村田女子高校,普アド,私,50
安田学園高校,進学,私,50
和光高校,普通,私,50
上野学園高校,特進,私,49
大森学園高校,進学,私,49
小川高校,普通,49
共栄学園高校,普通,私,49
小岩高校,普通,49
昭和鉄道高校,鉄道,私,49
大成高校,文理進学,私,49
瀧野川女子学園高,特,私,49
貞静学園高校,Ⅰ特進,私,49
帝京高校,アスリート,私,49
東京家政学院高校,総,私,49
東洋女子高校,総進,私,49
新渡戸文化高校,医進,私,49
日本工業大駒場,際工,私,49
府中西高校,普通,49
板橋有徳高校,普通,48
大島海洋国際高校,海国,48
小野学園女子高校,特,私,48
