聖望学園高校,総進,私,50
東京成徳大深谷高,選,私,50
新座総合技術高校,食調,50
花咲徳栄高校,Ａ選進,私,50
朝霞西高校,普通,49
岩槻高校,普通,49
桶川高校,普通,49
芸術総合高校,美術,49
芸術総合高校,音楽,49
芸術総合高校,映像芸術,49
芸術総合高校,舞台芸術,49
越谷総合技術高,電子機,49
埼玉栄高校,総合進学,私,49
正智深谷高校,総進Ｐ,私,49
昌平高校,標準アスリ,私,49
昌平高校,選抜,私,49
草加南高校,普通,49
豊岡高校,普通,49
花咲徳栄高校,Ａ特進,私,49
県陽高校,普通,48
坂戸西高校,普通,48
新座総合技術高校,情技,48
本庄第一高校,進学α,私,48
秋草学園高校,進選抜,私,47
浦和東高校,普通,47
浦和商業高校,商業,47
浦和麗明高校,特選抜,私,47
叡明高校,進学選抜,私,47
川越西高校,普通,47
国際学院高校,特進,私,47
栄北高校,Ⅰ類,私,47
狭山経済高校,情報処理,47
自由の森学園高校,普通,47
新座総合技術高校,デザ,47
羽生第一高校,普通,47
東野高校,大学進学α,私,47
岩槻高校,国際文化,46
浦和学院高校,保健医,私,46
浦和実業学園高校,進,私,46
小川高校,普通,46
熊谷商業高校,情報処理,46
鴻巣高校,普通,46
越谷総合技術高校,流経,46
越谷総合技術高校,服デ,46
埼玉栄高校,保健体育,私,46
進修館高校,普通,46
西武台高校,進学,私,46
東邦音大東邦第二,音,私,46
所沢中央高校,普通,46
新座総合技術高校,服デ,46
新座総合技術高校,総ビ,46
花咲徳栄高校,Ａ総進,私,46
花咲徳栄高校,食物,私,46
深谷商業高校,情報処理,46
武蔵野音楽大附高,音,私,46
細田学園高校,進学α,私,46
鷲宮高校,普通,46
秋草学園高校,幼・保,私,45
秋草学園高校,進Ⅰ類,私,45
浦和麗明高校,進選抜,私,45
大宮東高校,普通,45
川口総合高校,総合,45
久喜工業高校,情報技術,45
鴻巣女子高校,保育,45
越谷東高校,普通,45
狭山経済高校,流通経済,45
狭山経済高校,会計,45
秀明英光高校,特進学,私,45
庄和高校,普通,45
草加東高校,普通,45
草加南高校,外国語,45
東京成徳大深谷高,進,私,45
新座総合技術高校,電機,45
本庄第一高校,進学β,私,45
浦和学院高校,文理進,私,44
大宮武蔵野高校,普通,44
川越総合高校,総合,44
埼玉平成高校,進学,私,44
志木高校,普通,44
進修館高校,総合,44
所沢商業高校,情報処理,44
滑川総合高校,総合,44
鳩ヶ谷高校,普通,44
深谷商業高校,会計,44
深谷商業高校,商業,44
細田学園高校,進学β,私,44
細田学園高校,食物,私,44
武蔵越生高校,進学,私,44
上尾鷹の台高校,普通,43
秋草学園高校,進Ⅱ類,私,43
浦和学院高校,総進学,私,43
浦和学院高校,アート,私,43
浦和実業学園高校,商,私,43
越生高校,美術,43
春日部工業高校,電気,43
川越工業高校,建築,43
川越工業高校,機械,43
川越工業高校,電気,43
川口青陵高校,普通,43
熊谷商業高校,商業,43
西武台高校,総合進学,私,43
松伏高校,音楽,43
三郷北高校,普通,43
山村国際高校,普通,私,43
上尾南高校,普通,42
岩槻商業高校,商業,42
岩槻商業高校,情報処理,42
浦和工業高校,設備シス,42
大宮工業高校,電気,42
大宮工業高校,建築,42
大宮工業高校,電子機械,42
川口東高校,普通,42
北本高校,普通,42
熊谷工業高校,建築,42
熊谷工業高校,土木,42
熊谷工業高校,電気,42
熊谷工業高校,機械,42
熊谷工業高校,情報技術,42
国際学院高校,総合Ⅰ,私,42
鴻巣女子高校,家政科学,42
秀明英光高校,国際英,私,42
進修館高校,工業,42
鳩ヶ谷高校,情報処理,42
鳩ヶ谷高校,園芸デザイ,42
飯能高校,普通,42
松伏高校,普通,42
松伏高校,情報ビジネス,42
浦和工業高校,情報技術,41
浦和工業高校,電気,41
浦和工業高校,機械,41
浦和麗明高校,保育進,私,41
大宮商業高校,商業,41
大宮工業高校,機械,41
春日部工業高校,機械,41
春日部工業高校,建築,41
川越初雁高校,普通,41
川越工業高校,デザイン,41
川越工業高校,化学,41
鴻巣高校,商業,41
児玉高校,普通,41
児玉高校,体育,41
正智深谷高校,総進Ｓ,私,41
正智深谷高校,スポー,私,41
誠和福祉高校,総合,41
誠和福祉高校,福祉,41
所沢商業高校,ビジ会計,41
所沢商業高校,国際流通,41
新座柳瀬高校,普通,41
羽生実業高校,情報処理,41
羽生実業高校,商業,41
羽生実業高校,ビジ会計,41
深谷高校,普通,41
宮代高校,普通,41
三郷工業技術高校,機械,41
三郷工業技術高校,電機,41
三郷工業技術高校,電気,41
三郷工業技術高校,情電,41
三郷工業技術高校,情技,41
寄居城北高校,総合,41
いずみ高校,環境系,40
いずみ高校,生物系,40
浦和麗明高校,福祉進,私,40
叡明高校,進アドバン,私,40
大宮東高校,体育,40
国際学院高校,総合Ⅱ,私,40
国際学院高校,食調理,私,40
狭山工業高校,機械,40
狭山工業高校,電気,40
狭山工業高校,電子機械,40
狭山清陵高校,普通,40
白岡高校,普通,40
白岡高校,情報,40
草加西高校,普通,40
鶴ヶ島清風高校,普通,40
蓮田松韻高校,普通,40
東野高校,大学進学β,私,40
