岡山龍谷高校,進学教養Ⅰ,私,38
倉敷高校,総合進学,私,38
倉敷高校,情報処理,私,38
倉敷高校,ビジネス,私,38
倉敷高校,福祉,私,38
倉敷高校,IT,私,38
倉敷高校,アート＆デザイ,私,38
倉敷高校,総合キャリア,私,38
倉敷高校,保育・福祉,私,38
作陽高校,体育,私,38
岡山龍谷高校,情報,私,37
創志学園高校,総合進学,私,37
高梁日新高校,普通,私,37
高梁日新高校,ビューティ,私,37
勝山高校蒜山校地,普通,37
創志学園高校,体育,37  
