大手前高松高[栄冠進ＳＳ]67
大手前高松高[栄冠進学Ｓ]65
大手前高校[普通]61
香川誠陵高校[普通]61
英明高校[特進]60
藤井高校[ユリーカ]57
英明高校[進学Ⅰ]56
大手前高松高校[特進Ａ]56
尽誠学園高校[特進]54
高松中央高校[特進]53
香川西高校[特進]52
坂出第一高校[特進]52
大手前高松高校[特進Ⅴ]51
藤井高校[特進]49
英明高校[進学Ⅱ]48
高松中央高校[進学]47
尽誠学園高校[進学]46
尽誠学園高校[衛生看護]45
英明高校[情報]44
坂出第一高校[進学]44
坂出第一高校[進学]44
藤井高校[グローバル]43
英明高校[総合]42
藤井学園寒川高校[看護]42
香川西高校[衛生看護]41
尽誠学園高校[体育]40
尽誠学園高校[教養]40
尽誠学園高校[商業]40
藤井高校[商業]40
藤井学園寒川高校[総合]40
藤井学園寒川高校[スポー]40
香川西高校[進学]39
香川西高校[体育]39
香川西高校[総合]39
香川西高校[商業]39
坂出第一高校[総合]39
坂出第一高校[食物]39
坂出第一高校[ファッショ]39
高松中央高校[総合進学]39
高松中央高校[商業]39 
