静岡高校[普通]71
清水東高校[理数]70
沼津東高校[理数]70
浜松北高校[普通]70
富士高校[理数]70
磐田南高校[理数]69
清水東高校[普通]68
沼津東高校[普通]68
浜松北高校[国際]68
富士高校[普通]68
磐田南高校[普通]67
掛川西高校[理数]67
韮山高校[理数]67
浜松市立高校[普通]67
藤枝東高校[普通]67
韮山高校[普通]66
沼津工業高等専門[機械]66
沼津工業高等専門[電電]66
沼津工業高等専門[電制]66
沼津工業高等専門[制情]66
沼津工業高等専門[物質]66
浜松西高校[普通]66
静岡東高校[普通]64
榛原高校[理数]64
浜松南高校[理数]64
掛川西高校[普通]63
御殿場西高校[特進/私]63
静岡市立高校[普通]63
静岡市立高校[科学探究]63
静岡学園高校[教養科/私]63
藤枝明誠高校[英数/私]63
三島北高校[普通]63
伊豆中央高校[普通]62
加藤学園暁秀高校[普/私]62
常葉学園菊川高[特A/私]62
浜松日体高校[選抜Ⅰ/私]62
浜松南高校[普通]62
下田高校[理数]61
桐陽高校[英数進学/私]61
浜松学芸高校[特進/私]61
日本大学三島高校[特/私]60
静岡城北高校[普通]59
常葉学園橘高校[英数/私]59
常葉学園菊川高校[特/私]59
星陵高校[総合/私]59
沼津西高校[普通]59
榛原高校[普通]59
浜松湖南高校[英語]59
富士宮西高校[普通]59
富士東高校[普通]59
加藤学園暁秀高[バイ/私]58
清水南高校[普通]58
御殿場南高校[普通]57
静岡城北高校[国際]57
袋井高校[普通]57
焼津中央高校[普通]57
磐田東高校[英数/私]56
科学技術高校[理工]56
加藤学園高校[特進/私]56
桐陽高校[留学進学/私]56
東海大付翔洋高校[特/私]56
浜松工業高校[理数工学]56
浜松工業高校[シス化学]56
浜松工業高校[デザイン]56
浜松工業高校[建築]56
浜松工業高校[土木]56
浜松工業高校[機械]56
浜松工業高校[電気]56
浜松工業高校[情報技術]56
浜松日体高校[選抜Ⅱ/私]56
浜名高校[普通]56
富士見高校[特進Ⅰ/私]56
静岡北高校[理数/私]55
聖隷クリストフ[英数/私]55
西遠女子学園高校[普/私]54
日本大学三島高校[進/私]54
浜松海の星高校[特進/私]54
浜松湖南高校[普通]54
三島南高校[普通]54
吉原高校[普通]54
島田高校[普通]53
星陵高校[英数/私]53
星陵高校[高大/私]53
沼津西高校[芸術]53
浜松学院高校[特選抜/私]53
富士宮北高校[普通]53
清水南高校[芸術]52
清水桜が丘高校[普通]52
清水桜が丘高校[商業]52
静岡西高校[普通]52
日本大学三島高[国際/私]52
沼津高校[普通]52
浜松商業高校[商業]52
磐田西高校[普通]51
磐田東高校[特進Ⅰ類/私]51
磐田北高校[普通]51
掛川東高校[普通]51
静岡サレジオ高校[特/私]51
常葉学園菊川高校[進/私]51
桐陽高校[国際進学/私]51
東海大付翔洋高[英数/私]51
沼津城北高校[普通]51
浜松商業高校[情報処理]51
浜松日体高校[文理/私]51
富士見高校[特進Ⅱ類/私]51
藤枝西高校[普通]51
藤枝明誠高校[普通/私]51
不二聖心女子学院[普/私]51
伊東高校[普通]50
御殿場西高校[進学/私]50
聖隷クリストフア[特/私]50
知徳高校[大進/私]50
桐陽高校[特別進学/私]50
浜松開誠館高校[進学/私]50
浜松湖東高校[普通]50
吉原高校[国際]50
小山高校[普通]49
科学技術高校[機械工学]49
科学技術高校[制御工学]49
科学技術高校[電気工学]49
科学技術高校[電子工学]49
科学技術高校[情報シス]49
科学技術高校[建築デザ]49
科学技術高校[都市工学]49
科学技術高校[物質工学]49
静岡商業高校[商業]49
静岡商業高校[情報処理]49
島田商業高校[総合ビジ]49
島田商業高校[情報ビジ]49
東海大付翔洋高[文総/私]49
浜松城北工業高校[機械]49
浜松城北工業高校[電機]49
浜松城北工業高校[電気]49
浜松城北工業高校[電子]49
富士市立高校[総合探究]49
磐田北高校[福祉]48
掛川工業高校[情報技術]48
掛川工業高校[機械]48
掛川工業高校[電子電気]48
掛川工業高校[電子機械]48
掛川工業高校[設備シス]48
下田高校[普通]48
清水西高校[普通]48
沼津商業高校[国際ビジ]48
沼津商業高校[情報ビジ]48
浜松海の星高校[総進/私]48
富士宮北高校[商業]48
静岡北高校[国際コミ/私]47
島田樟誠高校[特進学/私]47
清流館高校[普通]47
聖隷クリストフ[進Ⅰ/私]47
浜北西高校[普通]47
富士市立高校[スポー探]47
富士市立高校[ビジネ探]47
富士宮東高校[普通]47
富士宮東高校[福祉]47
静岡農業高校[生産]46
静岡農業高校[環境]46
静岡農業高校[食品]46
駿河総合高校[総合]46
常葉学園高校[グロー/私]46
星陵高校[普通・私]46
富岳館高校[総合]46
沼津中央高校[アドバ/私]46
沼津工業高校[機械]46
沼津工業高校[電気]46
沼津工業高校[電子]46
沼津工業高校[建築]46
沼津工業高校[土木]46
沼津工業高校[物質]46
浜松大平台高校[総合]46
磐田農業高校[生産]45
磐田農業高校[環境]45
磐田農業高校[食品]45
磐田西高校[総合ビジネ]45
磐田東高校[特進Ⅱ類/私]45
静岡サレジオ高校[普/私]45
島田工業高校[Ⅰ類]45
島田工業高校[Ⅱ類]45
常葉学園菊川高校[美/私]45
田方農業高校[生産科学]45
田方農業高校[園芸デザ]45
田方農業高校[動物科学]45
田方農業高校[食品科学]45
田方農業高校[ライフデ]45
浜松学芸高校[芸術/私]45
浜松江之島高校[芸術]45
浜松江之島高校[普通]45
袋井商業高校[商業]45
吉原工業高校[機械]45
吉原工業高校[電子機械]45
吉原工業高校[電気]45
吉原工業高校[電子]45
吉原工業高校[システ化]45
吉原工業高校[数理工学]45
小笠高校[総合]44
加藤学園高校[進学/私]44
湖西高校[普通]44
御殿場西高校[情報処/私]44
静岡北高校[普通/私]44
常葉学園橘高校[総進/私]44
常葉学園橘高校[総芸/私]44
清流館高校[福祉]44
浜松東高校[普通]44
浜松東高校[総ビジネス]44
浜松東高校[情ビジネス]44
