北陸高校[特進]62
仁愛女子高校[特進]59
福井工業大附属高校[特進]58
仁愛女子高校[英語留学]55
敦賀気比高校[特進]53
啓新高校[特別進学]51
北陸高校[進学]51
仁愛女子高校[進学]48
福井工業大附高校[進学Ⅰ]48
仁愛女子高校[音楽]46
仁愛女子高校[商業]45
敦賀気比高校[進学]45
敦賀気比高校[教養]42
北陸高校[普通]42
北陸高校[情報処理]42
啓新高校[進学]41
啓新高校[調理]41
福井工業大附高校[進学Ⅱ]41
福井工業大附高校[衛生看]41
啓新高校[普通]40
啓新高校[ファッション]40
啓新高校[情報商業]39
福井工業大附高校[創造科]38 
