沖縄尚学高[東大国公立医]63
興南高校[フロンティア]56
沖縄尚学高校[尚学パイオ]53
沖縄尚学高校[国際文化科]50
興南高校[特進]49
沖縄カトリック高校[普通]47
興南高校[総合進学]47
沖縄尚学高校[体育]45
