福岡講倫館高校,総合,48
福岡女子商業高,総ビジ,48
福岡女子商業高,情ビジ,48
福岡大附若葉高校,進,私,48
福岡舞鶴高校,進学,私,48
福島高校,普通,48
明光学園高校,進強化,私,48
八女学院高校,特進,私,48
八幡工業高校,機械,48
八幡工業高校,電気,48
八幡工業高校,土木,48
八幡中央高校,普通,48
沖学園高校,特進Ｓ,私,47
苅田工業高校,機械,47
苅田工業高校,電気,47
苅田工業高校,情報技術,47
九州産業大付九州,進,私,47
敬愛高校,進学,私,47
古賀竟成館高校,普通,47
杉森高校,看護,私,47
星琳高校,特進,私,47
青豊高校,総合,47
筑紫台高校,特進,私,47
西日本短大附高,特合,私,47
西日本短大附高,看医,私,47
福岡工大附城東,電情,私,47
福岡常葉高校,特進,私,47
福岡大附若葉高,国際,私,47
福岡大附若葉高,福大,私,47
大和青藍高校,看護,私,47
祐誠高校,進学,私,47
浮羽究真館高校,総合,46
大川樟風高校,文理,46
大川樟風高校,総合,46
九州産大付九州,デザ,私,46
北九州高校,体育,46
玄界高校,普通,46
高稜高校,特進,私,46
純真高校,進学,私,46
須恵高校,普通,46
精華女子高校,特進,私,46
戸畑工業高校,機械,46
戸畑工業高校,電気,46
戸畑工業高校,建築,46
戸畑工業高校,情報技術,46
福岡魁誠高校,総合,46
三池工業高校,電子機械,46
三池工業高校,電気,46
三池工業高校,情報電子,46
三池工業高校,土木,46
三池工業高校,工業化学,46
美萩野女子高校,看護,私,46
若松商業高校,ビジネス,46
糸島高校,普通,45
大牟田北高校,普通,私,45
古賀竟成館高校,総ビジ,45
筑陽学園高校,デザイ,私,45
東鷹高校,総合,45
東鷹高校,総合生活,45
南筑高校,普通,45
博多高校,看護,私,45
博多工業高校,機械,45
博多工業高校,インテリ,45
博多工業高校,建築,45
博多工業高校,画像,45
博多工業高校,自動車,45
博多工業高校,電子情報,45
東筑紫学園高校,食文,私,45
福岡第一高校,国際,私,45
福岡海星女子学院,進,私,45
福岡海星女子学院,こ,私,45
