薩摩中央高校,福祉,36
垂水高校,生活デザイン,36
野田女子高校,食物,36
野田女子高校,生活文化,36
鹿児島情報高校,自動車,私,36
樟南第二高校,商業,私,36
市来農芸高校,農業,35
市来農芸高校,生活,35
薩摩中央高校,生物生産,35
薩摩中央高校,農業工学,35 
